jobtitle,jobfield,scale_e,scale_i,scale_s,scale_n,scale_t,scale_f,scale_j,scale_p,psychotype,satisfied
Office Manager,Administration,28,10,28,6,0,33,34,5,ESFJ,0
Office Manager,Administration,11,26,22,13,14,16,22,11,ISFJ,0
Office Manager,Administration,26,10,12,22,16,18,15,16,ENFP,0
Office Manager,Administration,17,22,13,15,15,16,14,19,INFP,1
Office Manager,Administration,6,28,23,13,30,4,29,4,ISTJ,0
Office Manager,Administration,16,22,26,9,18,22,24,15,ISFJ,0
Office Manager,Administration,23,20,23,14,17,16,22,14,ESTJ,1
Office Manager,Administration,19,20,18,12,19,12,8,29,ISTP,0
Office Manager,Administration,26,11,8,27,22,13,9,23,ENTP,0
Office Manager,Administration,17,21,25,7,9,17,25,13,ISFJ,1
Office Manager,Administration,20,17,10,16,15,12,16,17,ENTP,0
Office Manager,Administration,24,15,9,20,15,13,19,17,ENTJ,0
Office Manager,Administration,18,21,28,1,31,5,32,1,ISTJ,1
Office Manager,Administration,20,17,15,20,11,20,18,15,ENFJ,1
Office Manager,Administration,25,10,9,27,10,25,12,23,ENFP,1
Office Manager,Administration,17,14,26,6,23,10,27,8,ESTJ,0
Office Manager,Administration,28,11,20,12,11,19,16,18,ESFP,1
Office Manager,Administration,26,11,27,6,16,19,17,17,ESFJ,1
Office Manager,Administration,18,24,15,16,20,14,10,25,INTP,0
Office Manager,Administration,12,26,21,13,25,10,32,3,ISTJ,1
Office Manager,Administration,22,15,16,15,21,19,16,20,ESTP,0
Office Manager,Administration,24,14,11,19,9,23,18,18,ENFJ,1
Office Manager,Administration,7,27,16,20,26,14,11,25,INTP,0
Office Manager,Administration,16,20,15,15,14,15,12,20,ISFP,0
Office Manager,Administration,17,18,13,19,17,12,15,20,INTP,0
Office Manager,Administration,29,8,8,29,13,25,4,30,ENFP,0
Office Manager,Administration,14,24,28,6,18,11,22,13,ISTJ,1
Office Manager,Administration,10,24,21,17,14,12,19,16,ISTJ,0
Office Manager,Administration,30,5,14,14,18,15,20,17,ESTJ,0
Office Manager,Administration,22,18,16,13,19,10,27,7,ESTJ,1
Office Manager,Administration,32,6,29,7,18,14,18,17,ESTJ,1
Office Manager,Administration,6,27,23,11,16,18,25,8,ISFJ,0
Office Manager,Administration,23,11,25,16,21,11,28,8,ESTJ,0
Office Manager,Administration,9,27,22,6,20,8,25,8,ISTJ,0
Office Manager,Administration,16,18,10,18,19,15,18,16,INTJ,0
Office Manager,Administration,10,24,9,19,14,17,13,23,INFP,0
Office Manager,Administration,26,7,7,24,6,26,10,25,ENFP,1
Office Manager,Administration,25,14,21,13,13,21,29,5,ESFJ,1
Office Manager,Administration,24,12,12,19,15,16,18,15,ENFJ,1
Office Manager,Administration,17,17,17,16,28,9,24,8,ESTJ,0
Office Manager,Administration,11,25,15,15,18,12,24,11,ISTJ,1
Office Manager,Administration,20,17,26,9,28,10,26,8,ESTJ,0
Office Manager,Administration,25,12,22,13,20,15,17,15,ESTJ,0
Office Manager,Administration,3,31,28,9,20,14,29,4,ISTJ,1
Office Manager,Administration,19,19,17,16,15,20,12,23,ESFP,0
Office Manager,Administration,16,19,21,15,15,13,26,13,ISTJ,0
Office Manager,Administration,20,19,23,9,26,8,30,3,ESTJ,0
Office Manager,Administration,29,5,19,10,29,8,16,20,ESTP,1
Office Manager,Administration,22,14,19,15,20,17,21,13,ESTJ,0
Office Manager,Administration,21,17,17,9,18,13,9,27,ESTP,0
Office Manager,Administration,5,32,29,7,30,5,26,13,ISTJ,0
Facility guard,Security,20,19,27,6,25,7,30,5,ESTJ,1
Facility guard,Security,12,23,18,12,17,14,33,5,ISTJ,0
Facility guard,Security,30,6,25,6,21,9,30,5,ESTJ,1
Facility guard,Security,24,15,30,8,31,7,29,4,ESTJ,1
Facility guard,Security,22,14,25,9,24,13,28,7,ESTJ,1
Facility guard,Security,18,19,24,14,20,17,27,9,ISTJ,0
Facility guard,Security,23,19,24,7,28,11,28,6,ESTJ,1
Facility guard,Security,28,10,25,5,26,9,29,5,ESTJ,1
Facility guard,Security,12,22,7,26,19,11,9,25,INTP,0
Facility guard,Security,24,12,20,8,17,14,19,16,ESTJ,1
Facility guard,Security,17,23,17,15,18,14,30,7,ISTJ,0
Facility guard,Security,27,9,21,12,14,14,23,13,ESTJ,1
Facility guard,Security,12,25,25,8,23,12,28,7,ISTJ,0
Facility guard,Security,19,13,20,18,24,12,20,13,ESTJ,0
Facility guard,Security,22,15,14,13,18,14,19,16,ESTJ,1
Facility guard,Security,14,19,16,18,19,22,23,15,INFJ,0
Facility guard,Security,12,27,30,3,22,10,30,5,ISTJ,0
Facility guard,Security,21,17,22,14,18,15,15,22,ESTP,1
Facility guard,Security,11,26,17,11,7,18,26,10,ISFJ,1
Facility guard,Security,24,20,25,10,22,15,11,25,ESTP,1
Facility guard,Security,17,20,18,13,24,12,21,8,ISTJ,1
Facility guard,Security,11,21,32,2,21,9,31,3,ISTJ,1
Facility guard,Security,15,23,28,6,33,4,31,3,ISTJ,1
Facility guard,Security,16,25,33,3,20,16,27,8,ISTJ,1
Facility guard,Security,16,22,28,6,25,14,29,8,ISTJ,1
Facility guard,Security,23,17,23,10,20,11,22,14,ESTJ,1
Facility guard,Security,13,24,15,13,20,7,24,7,ISTJ,0
Facility guard,Security,15,24,24,5,22,10,24,15,ISTJ,1
Facility guard,Security,21,20,25,9,18,18,27,8,ESTJ,0
Facility guard,Security,12,23,13,22,18,18,26,10,INTJ,0
Facility guard,Security,13,25,30,4,24,14,27,8,ISTJ,1
Facility guard,Security,22,17,25,7,25,10,28,7,ESTJ,0
Facility guard,Security,15,21,25,8,18,12,25,8,ISTJ,1
Facility guard,Security,21,16,25,7,28,8,29,6,ESTJ,1
Facility guard,Security,18,18,24,9,21,13,32,1,ESTJ,1
Facility guard,Security,17,19,14,19,27,8,16,21,INTP,0
Facility guard,Security,9,23,16,18,13,17,30,7,INFJ,0
Facility guard,Security,18,17,15,17,21,15,22,14,ENTJ,0
Facility guard,Security,24,11,28,9,28,8,15,21,ESTP,0
Facility guard,Security,18,12,12,23,9,26,13,21,ENFP,0
Facility guard,Security,9,25,22,3,17,12,25,8,ISTJ,1
Facility guard,Security,24,11,21,10,21,12,21,12,ESTJ,0
Facility guard,Security,14,20,24,3,20,15,21,12,ISTJ,1
Facility guard,Security,7,26,27,5,24,12,28,8,ISTJ,0
Facility guard,Security,14,25,24,11,24,12,27,9,ISTJ,0
Facility guard,Security,22,13,25,10,29,5,14,23,ESTP,1
Facility guard,Security,27,11,21,13,18,17,22,18,ESTJ,0
Bodyguard,Security,12,26,29,4,34,3,29,9,ISTJ,1
Bodyguard,Security,30,10,30,5,19,17,28,7,ESTJ,1
Bodyguard,Security,4,27,33,3,29,8,28,6,ISTJ,1
Bodyguard,Security,22,13,25,10,22,11,19,11,ESTJ,0
Teacher,Staff and training,17,17,16,17,31,3,31,4,ENTJ,0
Teacher,Staff and training,21,17,3,27,27,11,16,18,ENTP,1
Teacher,Staff and training,22,16,14,18,27,12,14,24,ENTP,1
Teacher,Staff and training,28,9,28,7,17,17,28,7,ESTJ,1
Teacher,Staff and training,11,25,6,25,3,24,24,11,INFJ,1
Teacher,Staff and training,11,25,30,5,14,28,29,4,ISFJ,0
Teacher,Staff and training,15,23,15,18,17,23,16,22,INFP,1
Teacher,Staff and training,21,14,25,6,13,21,22,10,ESFJ,1
Teacher,Staff and training,2,34,23,13,15,17,31,6,ISFJ,1
Teacher,Staff and training,20,16,20,7,10,27,30,3,ESFJ,0
Teacher,Staff and training,23,10,22,15,23,12,18,20,ESTP,1
Teacher,Staff and training,23,10,19,17,20,16,16,21,ESTP,1
Teacher,Staff and training,16,16,14,16,21,15,17,20,ENTP,1
Teacher,Staff and training,23,15,12,20,20,15,18,20,ENTP,1
Teacher,Staff and training,10,25,17,10,20,11,24,12,ISTJ,0
Teacher,Staff and training,16,19,14,21,17,14,25,9,INTJ,1
Teacher,Staff and training,29,7,12,23,23,7,19,12,ENTJ,1
Teacher,Staff and training,23,14,10,24,26,8,12,24,ENTP,1
Teacher,Staff and training,18,16,22,17,25,12,9,27,ESTP,0
Teacher,Staff and training,18,17,17,19,18,21,17,18,ENFP,0
Teacher,Staff and training,16,19,12,22,13,23,18,16,INFJ,1
Teacher,Staff and training,8,27,20,11,24,7,27,5,ISTJ,1
Teacher,Staff and training,17,17,13,17,17,14,28,9,ENTJ,1
Teacher,Staff and training,20,15,9,16,13,18,13,26,ENFP,1
Teacher,Staff and training,26,9,6,23,14,23,18,20,ENFP,1
Teacher,Staff and training,20,13,15,12,22,12,17,17,ESTJ,1
Teacher,Staff and training,11,24,16,17,12,23,18,21,INFP,1
Teacher,Staff and training,21,14,11,23,21,11,12,21,ENTP,1
Teacher,Staff and training,11,22,22,7,4,29,27,7,ISFJ,1
Teacher,Staff and training,15,19,3,35,7,29,3,33,INFP,0
Teacher,Staff and training,11,22,10,26,16,25,15,20,INFP,0
Teacher,Staff and training,14,22,28,6,33,2,27,7,ISTJ,1
Teacher,Staff and training,26,11,15,14,22,12,22,12,ESTJ,0
Teacher,Staff and training,16,20,18,15,9,22,15,19,ISFP,1
Teacher,Staff and training,17,18,3,32,21,13,27,8,INTJ,1
Teacher,Staff and training,23,12,19,16,26,7,16,19,ESTP,1
Teacher,Staff and training,15,22,14,17,11,23,19,17,INFJ,1
Teacher,Staff and training,18,19,18,11,20,15,28,7,ISTJ,1
Teacher,Staff and training,28,13,26,7,21,12,28,8,ESTJ,0
Teacher,Staff and training,29,7,8,23,10,21,12,22,ENFP,1
Teacher,Staff and training,30,5,6,30,2,32,3,34,ENFP,1
Teacher,Staff and training,23,14,18,15,23,13,27,8,ESTJ,1
Teacher,Staff and training,18,20,20,10,17,18,26,11,ISFJ,0
Teacher,Staff and training,21,16,22,11,10,25,17,20,ESFP,1
Teacher,Staff and training,15,21,18,13,11,21,19,18,ISFJ,1
Teacher,Staff and training,18,23,30,8,20,12,19,13,ISTJ,0
Teacher,Staff and training,17,15,18,12,11,17,26,6,ESFJ,0
Teacher,Staff and training,27,11,28,8,17,18,20,16,ESFJ,1
Teacher,Staff and training,10,24,17,16,25,14,19,12,ISTJ,0
Teacher,Staff and training,12,25,18,12,26,9,25,9,ISTJ,0
Teacher,Staff and training,14,26,10,25,16,17,16,16,INFJ,0
Teacher,Staff and training,21,15,13,19,19,13,26,6,ENTJ,1
Teacher,Staff and training,19,15,17,16,9,22,24,8,ESFJ,1
Teacher,Staff and training,17,21,12,20,7,26,19,15,INFJ,1
Teacher,Staff and training,18,18,17,16,14,15,18,16,ESFJ,1
Teacher,Staff and training,18,16,11,25,6,26,21,14,ENFJ,1
Teacher,Staff and training,22,18,11,16,17,19,23,11,ENFJ,1
Teacher,Staff and training,20,15,14,16,27,4,13,17,ENTP,1
Teacher,Staff and training,12,23,23,6,30,8,23,17,ISTJ,1
Teacher,Staff and training,12,26,20,17,8,25,21,14,ISFJ,1
Teacher,Staff and training,21,17,15,9,11,22,21,17,ESFJ,1
Teacher,Staff and training,23,8,9,26,19,13,23,13,ENTJ,0
Teacher,Staff and training,27,10,21,17,30,10,24,13,ESTJ,1
Teacher,Staff and training,10,27,30,5,20,12,18,17,ISTJ,0
Teacher,Staff and training,25,13,16,13,13,20,27,9,ESFJ,0
Teacher,Staff and training,30,6,16,17,10,24,24,13,ENFJ,1
Teacher,Staff and training,7,29,18,18,6,26,21,11,ISFJ,0
Teacher,Staff and training,17,19,24,9,17,12,26,8,ISTJ,0
Teacher,Staff and training,21,18,18,16,21,12,29,3,ESTJ,1
Teacher,Staff and training,22,15,25,12,26,9,22,10,ESTJ,1
Teacher,Staff and training,12,23,9,24,11,23,5,28,INFP,1
Teacher,Staff and training,23,14,19,8,29,5,24,7,ESTJ,1
Teacher,Staff and training,25,13,24,10,11,18,29,4,ESFJ,1
Teacher,Staff and training,24,13,16,9,10,22,25,6,ESFJ,1
Teacher,Staff and training,13,23,20,15,15,17,22,18,ISFJ,1
Teacher,Staff and training,9,25,15,16,20,14,26,9,INTJ,1
Teacher,Staff and training,30,4,15,17,16,21,19,15,ENFJ,1
Teacher,Staff and training,23,16,7,24,15,21,8,28,ENFP,1
Teacher,Staff and training,26,12,11,22,22,10,12,21,ENTP,1
Teacher,Staff and training,24,15,10,16,9,23,17,16,ENFJ,1
Teacher,Staff and training,5,30,32,5,20,15,23,10,ISTJ,1
Teacher,Staff and training,13,20,9,24,7,29,6,29,INFP,0
Teacher,Staff and training,20,19,15,15,17,11,25,9,ESTJ,1
Teacher,Staff and training,26,12,18,9,22,9,31,5,ESTJ,0
Teacher,Staff and training,21,14,19,14,21,19,27,7,ESTJ,0
Teacher,Staff and training,11,23,15,18,22,11,8,27,INTP,1
Teacher,Staff and training,26,11,9,23,25,10,6,28,ENTP,1
Teacher,Staff and training,19,18,25,13,26,9,29,4,ESTJ,1
Teacher,Staff and training,16,17,16,20,17,16,20,17,INTJ,1
Teacher,Staff and training,5,29,10,25,23,11,18,19,INTP,0
Teacher,Staff and training,23,17,4,29,25,11,22,14,ENTJ,1
Teacher,Staff and training,25,8,16,14,17,16,25,9,ESTJ,1
Teacher,Staff and training,18,15,7,27,25,8,28,7,ENTJ,1
Teacher,Staff and training,28,5,14,11,15,21,18,18,ESFJ,0
Teacher,Staff and training,23,11,10,24,7,25,15,19,ENFP,1
Teacher,Staff and training,17,17,17,17,18,17,23,13,ESTJ,1
Teacher,Staff and training,31,8,18,13,19,17,18,15,ESTJ,1
Teacher,Staff and training,21,16,15,21,13,24,15,18,ENFP,1
Teacher,Staff and training,19,17,18,10,19,16,24,9,ESTJ,1
Teacher,Staff and training,20,18,20,17,15,17,17,22,ESFP,1
Teacher,Staff and training,9,22,24,11,22,13,12,24,ISTP,1
Teacher,Staff and training,15,17,15,20,26,22,27,10,INTJ,0
Teacher,Staff and training,23,11,18,18,28,5,27,11,ESTJ,1
Teacher,Staff and training,22,17,32,4,12,23,25,8,ESFJ,0
Teacher,Staff and training,16,17,20,16,16,18,26,11,ISFJ,1
Teacher,Staff and training,15,18,23,9,25,14,19,17,ISTJ,1
Teacher,Staff and training,17,20,18,11,12,21,9,25,ISFP,1
Teacher,Staff and training,14,21,22,16,20,20,16,20,ISTP,1
Teacher,Staff and training,30,11,27,6,19,17,26,8,ESTJ,0
Teacher,Staff and training,21,18,3,31,9,23,24,12,ENFJ,1
Teacher,Staff and training,17,18,17,15,19,16,25,13,ISTJ,1
Teacher,Staff and training,20,15,9,27,16,16,17,18,ENTP,1
Teacher,Staff and training,13,22,16,15,19,12,18,18,ISTJ,1
Teacher,Staff and training,28,9,25,6,24,11,28,8,ESTJ,1
Teacher,Staff and training,11,23,29,9,22,5,26,9,ISTJ,1
Teacher,Staff and training,19,18,20,10,15,21,16,19,ESFP,0
Teacher,Staff and training,21,20,6,28,9,27,13,22,ENFP,0
Teacher,Staff and training,20,16,17,18,15,17,29,2,ENFJ,0
Teacher,Staff and training,15,22,17,15,20,14,17,18,ISTP,0
Teacher,Staff and training,27,9,17,15,16,13,30,5,ESTJ,1
Teacher,Staff and training,21,15,15,18,15,20,24,11,ENFJ,0
Teacher,Staff and training,11,25,32,4,21,14,24,9,ISTJ,1
Teacher,Staff and training,8,28,8,28,11,26,8,26,INFP,0
Teacher,Staff and training,21,11,9,24,9,29,15,22,ENFP,1
Teacher,Staff and training,20,19,15,19,24,10,10,23,ENTP,1
Teacher,Staff and training,23,12,23,12,27,10,25,9,ESTJ,1
Teacher,Staff and training,17,21,20,12,23,8,30,6,ISTJ,1
Teacher,Staff and training,12,25,22,9,18,17,25,8,ISTJ,1
Teacher,Staff and training,31,6,12,15,15,21,17,14,ENFJ,1
Teacher,Staff and training,17,16,11,19,13,21,17,15,ENFJ,0
Teacher,Staff and training,26,15,16,11,14,17,21,13,ESFJ,1
Teacher,Staff and training,18,14,16,15,12,22,19,12,ESFJ,0
Teacher,Staff and training,10,27,26,5,5,25,28,8,ISFJ,1
Teacher,Staff and training,10,30,22,12,21,18,31,4,ISTJ,0
Teacher,Staff and training,6,25,22,17,24,11,12,24,ISTP,0
Teacher,Staff and training,20,19,9,26,12,16,11,22,ENFP,1
Teacher,Staff and training,19,16,18,15,8,27,13,20,ESFP,0
Teacher,Staff and training,22,12,22,18,19,19,25,10,ESTJ,1
Teacher,Staff and training,10,28,15,13,25,9,24,8,ISTJ,1
Teacher,Staff and training,18,15,22,11,22,11,25,7,ESTJ,0
Teacher,Staff and training,20,13,11,22,19,14,30,8,ENTJ,0
Teacher,Staff and training,13,19,17,17,27,5,15,20,ISTP,1
Teacher,Staff and training,30,6,9,19,8,24,21,14,ENFJ,1
Teacher,Staff and training,21,14,34,5,12,24,26,12,ESFJ,1
Teacher,Staff and training,16,19,19,16,27,7,28,6,ISTJ,1
Teacher,Staff and training,22,11,22,8,14,17,30,6,ESFJ,1
Teacher,Staff and training,28,8,14,16,24,7,22,16,ENTJ,1
Teacher,Staff and training,23,13,17,14,25,9,20,16,ESTJ,1
Teacher,Staff and training,29,6,8,22,24,9,20,13,ENTJ,1
Teacher,Staff and training,23,15,28,3,25,7,30,3,ESTJ,1
Teacher,Staff and training,26,7,17,14,3,30,16,18,ESFP,1
Teacher,Staff and training,22,13,18,15,14,27,24,12,ESFJ,0
Teacher,Staff and training,17,15,21,8,17,17,27,10,ESTJ,1
Teacher,Staff and training,12,22,11,19,12,17,6,28,INFP,1
Teacher,Staff and training,17,18,6,24,16,16,8,26,INTP,0
Teacher,Staff and training,27,8,14,20,15,19,17,18,ENFP,0
Teacher,Staff and training,21,21,14,19,19,16,19,18,ENTJ,1
Teacher,Staff and training,26,9,23,14,15,25,15,20,ESFP,1
Teacher,Staff and training,24,15,22,9,25,8,30,4,ESTJ,1
Teacher,Staff and training,15,24,22,6,23,14,29,8,ISTJ,0
Teacher,Staff and training,14,22,23,12,10,21,13,20,ISFP,1
Teacher,Staff and training,30,9,18,17,17,22,30,6,ESFJ,1
Teacher,Staff and training,15,20,13,17,19,15,9,27,INTP,0
Teacher,Staff and training,15,21,25,9,21,16,30,6,ISTJ,1
Teacher,Staff and training,7,28,15,20,1,31,27,8,INFJ,0
Teacher,Staff and training,25,10,10,22,8,24,10,23,ENFP,1
Teacher,Staff and training,21,18,10,21,15,22,22,12,ENFJ,1
Teacher,Staff and training,8,23,19,16,25,13,23,9,ISTJ,0
Teacher,Staff and training,19,15,20,16,31,14,25,11,ESTJ,1
Teacher,Staff and training,27,7,28,7,27,8,23,13,ESTJ,0
Teacher,Staff and training,22,12,9,18,9,27,6,30,ENFP,1
Teacher,Staff and training,19,19,16,16,31,4,25,12,ESTJ,1
Teacher,Staff and training,31,8,25,10,24,15,21,13,ESTJ,1
Teacher,Staff and training,8,28,19,15,28,4,19,16,ISTJ,1
Teacher,Staff and training,13,22,23,13,7,24,29,5,ISFJ,1
Teacher,Staff and training,25,12,20,15,24,14,4,32,ESTP,0
Teacher,Staff and training,24,15,20,6,8,24,27,11,ESFJ,1
Teacher,Staff and training,6,27,20,16,26,15,26,9,ISTJ,0
Teacher,Staff and training,16,18,28,6,12,21,16,19,ISFP,0
Teacher,Staff and training,16,21,22,13,14,20,25,10,ISFJ,1
Teacher,Staff and training,10,25,15,20,30,5,10,26,INTP,1
Teacher,Staff and training,10,24,23,9,19,20,26,12,ISFJ,0
Teacher,Staff and training,19,18,10,22,16,24,6,26,ENFP,1
Teacher,Staff and training,22,14,10,26,17,11,8,28,ENTP,0
Teacher,Staff and training,32,6,10,25,21,9,23,10,ENTJ,1
Teacher,Staff and training,22,13,18,13,26,6,19,18,ESTJ,1
Teacher,Staff and training,12,27,15,17,15,15,22,14,INTJ,0
Teacher,Staff and training,9,27,23,13,20,14,29,7,ISTJ,0
Teacher,Staff and training,7,28,5,31,27,5,26,10,INTJ,1
Teacher,Staff and training,9,28,8,23,3,31,17,18,INFP,0
Teacher,Staff and training,16,15,13,23,16,19,13,16,ENFP,0
Teacher,Staff and training,15,18,28,12,25,8,25,12,ISTJ,1
Teacher,Staff and training,26,15,25,7,18,15,34,1,ESTJ,1
Teacher,Staff and training,18,11,10,26,21,13,7,29,ENTP,0
Teacher,Staff and training,19,21,13,17,6,27,24,11,INFJ,0
Teacher,Staff and training,18,16,19,13,18,23,7,29,ESFP,1
Teacher,Staff and training,14,24,26,11,26,11,25,9,ISTJ,1
Teacher,Staff and training,14,26,12,23,24,11,27,5,INTJ,1
Teacher,Staff and training,12,24,19,22,15,19,24,13,INFJ,1
Teacher,Staff and training,10,26,18,10,3,29,25,9,ISFJ,1
Programmer,IT,31,7,13,15,23,13,12,23,ENTP,1
Programmer,IT,24,12,13,21,3,28,2,32,ENFP,0
Programmer,IT,16,19,28,8,31,5,25,7,ISTJ,1
Programmer,IT,5,28,5,30,12,20,8,25,INFP,0
Programmer,IT,7,32,29,7,28,10,33,3,ISTJ,1
Programmer,IT,7,29,25,9,29,2,24,12,ISTJ,0
Programmer,IT,24,16,25,7,28,6,26,9,ESTJ,1
Programmer,IT,17,22,16,18,29,2,20,14,INTJ,1
Programmer,IT,26,10,13,13,28,5,24,10,ESTJ,1
Programmer,IT,8,26,21,6,26,7,15,22,ISTP,1
Programmer,IT,15,18,25,16,25,6,18,16,ISTJ,1
Programmer,IT,11,25,15,18,23,14,24,7,INTJ,0
Programmer,IT,22,19,19,10,20,13,21,13,ESTJ,1
Programmer,IT,11,24,24,12,26,8,22,10,ISTJ,1
Programmer,IT,6,28,11,26,14,21,4,31,INFP,1
Programmer,IT,13,22,13,18,20,18,17,18,INTP,0
Programmer,IT,17,21,20,7,22,9,23,12,ISTJ,1
Programmer,IT,27,10,19,12,31,7,27,10,ESTJ,0
Programmer,IT,23,19,19,15,29,5,28,4,ESTJ,1
Programmer,IT,17,24,17,12,22,12,29,7,ISTJ,1
Programmer,IT,24,13,26,10,17,15,30,12,ESTJ,1
Programmer,IT,23,13,5,24,16,17,9,26,ENFP,1
Programmer,IT,10,24,16,20,11,22,13,21,INFP,0
Programmer,IT,16,23,25,10,27,6,16,16,ISTJ,1
Programmer,IT,9,25,19,12,28,5,19,12,ISTJ,1
Programmer,IT,10,24,23,11,30,3,12,21,ISTP,1
Programmer,IT,19,20,24,12,28,10,32,5,ISTJ,1
Programmer,IT,9,26,21,12,23,13,23,11,ISTJ,1
Programmer,IT,21,14,18,15,21,9,5,32,ESTP,1
Programmer,IT,12,26,16,14,21,12,11,21,ISTP,0
Programmer,IT,17,17,24,5,22,14,27,12,ESTJ,1
Programmer,IT,4,31,8,24,15,22,24,9,INFJ,1
Programmer,IT,20,17,8,19,23,10,16,21,ENTP,1
Programmer,IT,11,27,14,16,21,16,20,14,INTJ,0
Programmer,IT,11,24,10,21,12,19,26,13,INFJ,1
Programmer,IT,21,20,16,14,26,11,27,9,ESTJ,1
Programmer,IT,10,27,20,10,23,16,16,21,ISTP,0
Programmer,IT,29,8,11,23,23,10,24,12,ENTJ,1
Programmer,IT,29,7,9,21,15,13,19,14,ENTJ,0
Programmer,IT,20,12,18,17,28,9,14,23,ESTP,1
Programmer,IT,25,8,22,8,22,13,27,8,ESTJ,1
Programmer,IT,22,14,27,7,28,8,29,8,ESTJ,1
Programmer,IT,23,16,13,18,22,6,19,15,ENTJ,1
Programmer,IT,20,11,26,9,23,9,26,5,ESTJ,1
Programmer,IT,9,25,26,9,27,9,13,25,ISTP,0
Programmer,IT,22,12,17,13,12,24,21,17,ESFJ,1
Programmer,IT,11,25,17,12,25,9,20,16,ISTJ,0
Programmer,IT,22,16,26,8,26,10,22,16,ESTJ,1
Programmer,IT,10,24,14,16,17,11,23,12,INTJ,1
Programmer,IT,20,18,22,8,21,9,29,6,ESTJ,1
Programmer,IT,15,18,14,16,33,3,2,30,INTP,1
Programmer,IT,12,24,25,9,31,5,31,9,ISTJ,1
Programmer,IT,11,26,19,17,20,13,25,8,ISTJ,1
Programmer,IT,10,25,14,22,22,11,17,19,INTP,0
Programmer,IT,10,24,27,6,27,6,24,11,ISTJ,1
Programmer,IT,13,24,14,14,33,4,20,14,ISTJ,1
Programmer,IT,30,5,9,25,11,21,7,27,ENFP,1
Programmer,IT,13,21,23,16,27,9,21,14,ISTJ,1
Programmer,IT,23,13,17,13,20,11,23,14,ESTJ,0
Programmer,IT,13,23,9,15,30,7,1,32,INTP,1
Programmer,IT,13,22,20,13,26,4,5,32,ISTP,1
Programmer,IT,8,24,12,27,3,26,15,19,INFP,0
Programmer,IT,22,14,15,15,24,8,20,13,ESTJ,0
Programmer,IT,24,14,16,13,14,19,17,17,ESFJ,0
Programmer,IT,16,20,15,17,32,4,17,17,INTJ,1
Programmer,IT,16,20,22,8,23,6,21,17,ISTJ,1
Programmer,IT,18,17,17,20,27,16,18,19,ENTP,0
Programmer,IT,19,18,19,18,18,18,28,9,ESTJ,1
Programmer,IT,24,14,16,19,15,20,14,18,ENFP,1
Programmer,IT,11,25,20,13,27,4,25,9,ISTJ,1
Programmer,IT,19,21,24,8,35,3,23,12,ISTJ,1
Programmer,IT,10,25,21,11,25,9,24,13,ISTJ,1
Programmer,IT,27,9,12,21,18,15,14,22,ENTP,1
Programmer,IT,15,22,7,22,19,12,12,20,INTP,0
Programmer,IT,9,27,23,9,28,6,27,6,ISTJ,1
Programmer,IT,18,20,11,16,19,17,23,15,INTJ,1
Programmer,IT,12,25,20,13,25,6,28,7,ISTJ,1
Programmer,IT,16,18,8,25,28,6,15,19,INTP,1
Programmer,IT,11,27,13,22,29,5,24,11,INTJ,1
Programmer,IT,7,29,21,11,34,1,29,7,ISTJ,1
Programmer,IT,31,7,16,12,21,14,27,7,ESTJ,1
Programmer,IT,13,20,18,11,21,18,29,7,ISTJ,1
Programmer,IT,8,24,10,27,3,29,15,19,INFP,0
Programmer,IT,18,18,6,26,29,6,5,32,ENTP,0
Programmer,IT,18,15,15,18,20,12,17,16,ENTJ,1
Programmer,IT,17,19,18,14,25,5,20,13,ISTJ,0
Programmer,IT,13,17,22,15,17,21,18,17,ISFJ,1
Programmer,IT,20,18,2,30,25,11,17,17,ENTJ,1
Programmer,IT,13,15,18,17,25,10,10,27,ISTP,0
Programmer,IT,23,20,14,15,13,19,18,18,ENFJ,1
Programmer,IT,22,15,9,28,4,28,2,33,ENFP,1
Programmer,IT,4,30,16,19,24,14,21,16,INTJ,1
Programmer,IT,23,20,31,6,14,19,32,6,ESFJ,1
Programmer,IT,24,9,15,18,22,6,16,18,ENTP,1
Programmer,IT,13,21,22,19,21,13,27,5,ISTJ,1
Programmer,IT,22,16,18,19,15,16,13,20,ENFP,1
Programmer,IT,14,21,18,11,21,17,22,16,ISTJ,1
Programmer,IT,12,25,16,12,21,12,25,13,ISTJ,1
Programmer,IT,21,20,27,7,29,5,31,4,ESTJ,1
Programmer,IT,28,8,17,14,14,16,24,13,ESFJ,0
Programmer,IT,14,26,25,2,23,11,31,5,ISTJ,0
Programmer,IT,27,10,10,28,8,20,27,11,ENFJ,0
Programmer,IT,25,10,15,15,26,10,24,11,ESTJ,1
Programmer,IT,13,22,18,22,20,8,11,25,INTP,1
Programmer,IT,3,29,25,7,25,11,10,28,ISTP,0
Programmer,IT,28,10,12,24,28,9,23,11,ENTJ,1
Programmer,IT,14,23,13,18,15,19,8,25,INFP,1
Programmer,IT,28,11,14,16,14,24,16,19,ENFP,1
Programmer,IT,18,20,18,18,24,8,14,25,ISTP,1
Programmer,IT,14,21,19,15,29,10,16,19,ISTP,1
Programmer,IT,17,16,19,18,18,15,25,14,ESTJ,1
Programmer,IT,25,12,15,21,8,22,8,28,ENFP,0
Programmer,IT,12,24,9,18,7,21,6,30,INFP,1
Programmer,IT,34,3,23,13,26,11,27,9,ESTJ,1
Programmer,IT,20,19,12,22,30,6,29,3,ENTJ,1
Programmer,IT,18,22,22,8,27,7,28,8,ISTJ,1
